"Sample","meth.class","meth.family","col"
"GSM2405633_3998568129_R04C02","HGNET, MN1","HGNET, MN1","#ab94c1"
"GSM2405634_3998568129_R05C02","HGNET, MN1","HGNET, MN1","#ab94c1"
"GSM2405635_3998568129_R06C02","HGNET, MN1","HGNET, MN1","#ab94c1"
"GSM2405636_3998568089_R02C02","HGNET, BCOR","HGNET, BCOR","#739aca"
"GSM2405637_3998568167_R01C02","LGG, RGNT","LGG, RGNT","#f79246"
"GSM2405638_3998568167_R04C02","CONTR, WM","CONTR, WM","#a8a8a8"
"GSM2405639_3998568099_R04C01","CHGL","CHGL","#b37dec"
"GSM2405640_3998568066_R04C02","ETMR","ETMR","#1693d6"
"GSM2405641_101231000014_R01C02","LIPN","LIPN","#de7b2c"
"GSM2405642_101231000030_R03C02","GBM, MYCN","MCF GBM ","#48e948"
"GSM2405643_101178130118_R06C01","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405644_200091640050_R05C02","ENB, A","MCF ENB","#aa4a1c"
"GSM2405645_200091640051_R01C01","ENB, A","MCF ENB","#aa4a1c"
"GSM2405646_200091640051_R03C01","ENB, A","MCF ENB","#aa4a1c"
"GSM2405647_200091640051_R06C01","ENB, A","MCF ENB","#aa4a1c"
"GSM2405648_200091640051_R01C02","ENB, A","MCF ENB","#aa4a1c"
"GSM2405649_200091640051_R03C02","ENB, A","MCF ENB","#aa4a1c"
"GSM2405650_200091640051_R04C02","ENB, A","MCF ENB","#aa4a1c"
"GSM2405651_200091640051_R06C02","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405652_200091640059_R02C01","LGG, DIG DIA","LGG, DIG DIA","#cd4d00"
"GSM2405653_200078650174_R03C01","PIN T, PB A","PIN T,  PB A","#cbf5af"
"GSM2405654_200275560089_R06C02","ANA PA","ANA PA","#734ba9"
"GSM2405655_200275560098_R02C02","ANA PA","ANA PA","#734ba9"
"GSM2405656_200275560113_R05C02","ANA PA","ANA PA","#734ba9"
"GSM2405657_200277210073_R05C01","ANA PA","ANA PA","#734ba9"
